0,1,0,1,Какой из этих мультсериалов посвящен путешествиям во времени?,1,Невероятные приключения Билла и Теда,2,Кот Феликс,3,Скуби Ду,4,Каспер,50,1,0
0,2,0,1,Какой ученый первым назвал время четвертым измерением?,5,Альберт Эйнштейн,6,Архимед,7,Бенджамин Франклин,8,Генрих Герц,50,1,0
0,3,0,1,Во время какого стихийного явления родился Никола Тесла?,9,Гроза,10,Град,11,Цунами,12,Землетрясение,50,1,0
0,4,0,1,Кто из этих людей был соперником Николы Теслы?,13,Томас Эдисон,14,Гульермо Маркони,15,Джордж Вестингауз,16,Александр Белл,50,1,0
0,5,0,1,Что заставило главного героя фильма |Машина времени| взяться за конструирование своего изобретения?,17,Смерть невесты,18,Жажда власти,19,Пари по неосторожности,20,Подписанный контракт,50,1,0
0,6,0,1,Кто первым написал о путешествиях во времени с помощью сложных механических приспособлений?,21,Герберт Уэллс,22,Филип Дик,23,Жюль Верн,24,Эдмонд Гамильтон,50,1,0
0,7,0,1,Как в произведении Айзека Азимова называется проект; задачей которого является изменение прошлого для предотвращения апокалипсиса?,25,Вечность,26,Бесконечность,27,Разум,28,Сострадание,50,1,0
0,8,0,1,Кем по профессии является путешественник во времени в романе |11/22/63| Стивена Кинга?,29,Учитель,30,Наемный убийца,31,Садовник,32,Поэт,50,1,0
0,9,0,1,Что нужно сделать; чтобы; согласно теории относительности; время замедлилось?,33,Увеличить скорость,34,Набрать массу,35,Уменьшиться в объеме,36,Получить электрический разряд,50,1,0
0,10,0,1,Книга Марка Твена называется |Янки ... при дворе короля Артура|. Что должно стоять вместо многоточия?,37,Из Коннектикута,38,Из будущего,39,Из Манхеттена,40,С другого континента,50,1,0
0,11,0,1,В каком из этих произведений путешественники нашли живых динозавров?,41,Затерянный мир,42,Стрела времени,43,Фантастическая сага,44,Торговцы во времени,50,1,0
0,12,0,1,Где чаще всего проживал Никола Тесла?,45,Отели,46,Загородные дома,47,Любимая палатка,48,Крыши домов,50,1,0
0,13,0,1,На чем был помешан Никола Тесла?,49,Мистика,50,Инопланетяне,51,Теории заговоров,52,Космические полеты,50,1,0
0,14,0,1,Что является машиной времени в мультфильме |Мы вернулись! История динозавра|?,53,Дирижабль,54,Велосипед,55,Холодильник,56,Гоночный автомобиль,50,1,0
0,15,0,1,От чего Никола Тесла вылечил Марка Твена с помощью своего изобретения?,57,Запор,58,Склероз,59,Дальтонизм,60,Близорукость,50,1,0
0,16,0,1,В какой области невозможно однозначно предсказать исход опыта?,61,Квантовая физика,62,Химия,63,Механика,64,Термостатика,50,1,0
0,17,0,1,В чем заключается принцип суперпозиции?,65,Один объект может быть в нескольких местах одновременно,66,Каждый объект является источником света,67,Все предметы на самом деле нематериальны,68,Звезды поглощают тепло; а не выделяют его,50,1,0
0,18,0,1,В каком штате проводился проект с 1943 по 1983 год; в результате которого испытуемые сообщали; будто бы побывали в будущем?,69,Нью-Йорк,70,Техас,71,Гаваи,72,Вашингтон,50,1,0
0,19,0,1,С помощью чего в 1990х годах в Советском Союзе пытались проводить эксперименты с путешествиями во времени?,73,Зеркала,74,Морозильные камеры,75,Яды и химикаты,76,Гробы,50,1,0
0,20,0,1,В каком из этих произведений Харлана Эллисона главный герой попадает в прошлое?,77,Солдат,78,Визг побитой собаки,79,У меня нет рта; и я должен кричать,80,Пыльные глаза,50,1,0
